任务,特征方案,模型,split,target,r2,rmse,mae
任务1_品质预测,R210单光谱,弹性网络,测试集,titration_糖度,0.27364715488550817,1.2666005154631639,0.9620710412393705
任务1_品质预测,R210单光谱,弹性网络,测试集,titration_糖酸比,0.027189657064231376,3.6687236108978105,2.826913067042807
任务1_品质预测,R210单光谱,弹性网络,测试集,titration_酸度,0.0769570316218281,0.12455631437931285,0.09719893782589589
任务1_品质预测,R210单光谱,弹性网络,验证集,titration_VC,0.4826260585937877,6.3915551873567455,4.323776646575614
任务1_品质预测,R210单光谱,弹性网络,验证集,titration_糖度,0.5730464363413528,1.0032678046145478,0.8113045209444398
任务1_品质预测,R210单光谱,弹性网络,验证集,titration_糖酸比,0.41844599674653604,2.846346029355447,2.2534514213461714
任务1_品质预测,R210单光谱,弹性网络,验证集,titration_酸度,0.11602322743841353,0.11434123598485572,0.0877505843574285
任务1_品质预测,R210单光谱,极端随机树回归,测试集,titration_VC,0.01260147002735934,7.261167757529522,5.122100528499994
任务1_品质预测,R210单光谱,极端随机树回归,测试集,titration_糖度,0.020094431960347436,1.47115337405724,1.1782166666666678
任务1_品质预测,R210单光谱,极端随机树回归,测试集,titration_糖酸比,-0.16489187281421835,4.014613241292308,3.20420671104592
任务1_品质预测,R210单光谱,极端随机树回归,测试集,titration_酸度,-0.08539475837039445,0.135066812170866,0.10780499999999998
任务1_品质预测,R210单光谱,极端随机树回归,验证集,titration_VC,0.26877767036700606,7.5985196399059705,5.412204339083336
任务1_品质预测,R210单光谱,极端随机树回归,验证集,titration_糖度,0.31705896616924845,1.268873005531551,1.0318083333333348
任务1_品质预测,R210单光谱,极端随机树回归,验证集,titration_糖酸比,-0.02042657177604168,3.7703663496275444,2.9080818916529774
任务1_品质预测,R210单光谱,极端随机树回归,验证集,titration_酸度,-0.16284487525261349,0.13114246642487706,0.10231000000000004
任务1_品质预测,R210单光谱,随机森林回归,测试集,titration_VC,0.11873606981045581,6.859828052443686,4.737962377749998
任务1_品质预测,R210单光谱,随机森林回归,测试集,titration_糖度,0.12201361613662864,1.3925465761211238,1.127733333333333
任务1_品质预测,R210单光谱,随机森林回归,测试集,titration_糖酸比,0.08763446336336123,3.55291928276143,2.965212764304205
任务1_品质预测,R210单光谱,随机森林回归,测试集,titration_酸度,0.0003321781122795908,0.12962317243970436,0.10418333333333338
任务1_品质预测,R210单光谱,随机森林回归,验证集,titration_VC,0.2841199204856385,7.518382323020056,5.561002605833334
任务1_品质预测,R210单光谱,随机森林回归,验证集,titration_糖度,0.24361942329042607,1.3353550042966116,1.0959916666666676
任务1_品质预测,R210单光谱,随机森林回归,验证集,titration_糖酸比,0.0569294617038395,3.624639008156072,2.9387041643511216
任务1_品质预测,R210单光谱,随机森林回归,验证集,titration_酸度,-0.0675016246084037,0.1256512252891577,0.09907166666666664
任务1_品质预测,S960单光谱,K近邻回归,测试集,titration_VC,0.2671656920809027,6.2555158494057626,4.61717904773899
任务1_品质预测,S960单光谱,K近邻回归,测试集,titration_糖度,0.5865198048841218,0.9556375268942393,0.763565157323296
任务1_品质预测,S960单光谱,K近邻回归,测试集,titration_糖酸比,0.15453339269710686,3.420181351615041,2.77609081762745
任务1_品质预测,S960单光谱,K近邻回归,测试集,titration_酸度,-0.09642225510219138,0.13575121052202024,0.1020102523786171
任务1_品质预测,S960单光谱,K近邻回归,验证集,titration_VC,0.35828159616384414,7.1183037321216585,4.907187550425544
任务1_品质预测,S960单光谱,K近邻回归,验证集,titration_糖度,0.48296873735333967,1.1040403757262995,0.836516244501745
任务1_品质预测,S960单光谱,K近邻回归,验证集,titration_糖酸比,0.22315797412321503,3.2897206977280593,2.7136543768891315
任务1_品质预测,S960单光谱,K近邻回归,验证集,titration_酸度,-0.07008357139115584,0.1258030886850581,0.09934268960773399
任务1_品质预测,S960单光谱,LightGBM回归,测试集,titration_VC,0.2955371986632871,6.133230194832373,4.63681254380209
任务1_品质预测,S960单光谱,LightGBM回归,测试集,titration_糖度,0.5004557318569938,1.0503954443613188,0.8375414689817562
任务1_品质预测,S960单光谱,LightGBM回归,测试集,titration_糖酸比,0.0812339887117125,3.565359815541258,2.952864484862707
任务1_品质预测,S960单光谱,LightGBM回归,测试集,titration_酸度,-0.1207490503245705,0.1372489338778003,0.10537011087462782
任务1_品质预测,S960单光谱,LightGBM回归,验证集,titration_VC,0.3413631436660667,7.211527807998849,5.216713541294237
任务1_品质预测,S960单光谱,LightGBM回归,验证集,titration_糖度,0.48658807332816756,1.1001693228887572,0.8726633870798043
任务1_品质预测,S960单光谱,LightGBM回归,验证集,titration_糖酸比,0.14474077897378823,3.4517676467370255,2.8112865250169126
任务1_品质预测,S960单光谱,LightGBM回归,验证集,titration_酸度,-0.05836118882341923,0.12511212725795498,0.09730386782770847
任务1_品质预测,S960单光谱,PLS回归,测试集,titration_VC,9.850080275874973e-05,7.306995538220335,5.4531532857585026
任务1_品质预测,S960单光谱,PLS回归,测试集,titration_糖度,0.5630386753926988,0.9823977046907565,0.7603881712777852
任务1_品质预测,S960单光谱,PLS回归,测试集,titration_糖酸比,-0.1414102950054874,3.9739445022898714,3.2983828173901686
任务1_品质预测,S960单光谱,PLS回归,测试集,titration_酸度,-0.5639618333733147,0.16213167335496273,0.1282347275539731
任务1_品质预测,S960单光谱,PLS回归,验证集,titration_VC,0.2833925265941545,7.522201005116166,5.187356521984814
任务1_品质预测,S960单光谱,PLS回归,验证集,titration_糖度,0.30669617836769814,1.2784635526948005,1.0370034257741951
任务1_品质预测,S960单光谱,PLS回归,验证集,titration_糖酸比,-0.7080276873825899,4.8779812245558025,4.01446982561481
任务1_品质预测,S960单光谱,PLS回归,验证集,titration_酸度,-0.9494690120916007,0.16980114864501583,0.14391760320511426
任务1_品质预测,S960单光谱,SVR回归,测试集,titration_VC,0.16570863504256994,6.674505675455667,5.013493735953033
任务1_品质预测,S960单光谱,SVR回归,测试集,titration_糖度,0.6169383370559336,0.9198143575678421,0.7260177774064297
任务1_品质预测,S960单光谱,SVR回归,测试集,titration_糖酸比,0.2383692575758788,3.2461840372281032,2.552345676001045
任务1_品质预测,S960单光谱,SVR回归,测试集,titration_酸度,-0.2312827118905243,0.1438578882118668,0.1084593959357952
任务1_品质预测,S960单光谱,SVR回归,验证集,titration_VC,0.4468530592990926,6.608829156199892,4.554346201949773
任务1_品质预测,S960单光谱,SVR回归,验证集,titration_糖度,0.47754210683621434,1.109819117753618,0.8140266559635911
任务1_品质预测,S960单光谱,SVR回归,验证集,titration_糖酸比,0.3435721336227644,3.0240305606420383,2.4738054823280833
任务1_品质预测,S960单光谱,SVR回归,验证集,titration_酸度,0.0024961771595229942,0.12146180760244167,0.09883355659898492
任务1_品质预测,S960单光谱,XGBoost回归,测试集,titration_VC,0.3076322860944044,6.080350801987886,4.547103541534424
任务1_品质预测,S960单光谱,XGBoost回归,测试集,titration_糖度,0.5105401068576618,1.0397391449702422,0.8486551173528035
任务1_品质预测,S960单光谱,XGBoost回归,测试集,titration_糖酸比,0.14278478836783104,3.44386278688876,2.8619263743227505
任务1_品质预测,S960单光谱,XGBoost回归,测试集,titration_酸度,-0.10619395298907919,0.1363547997444615,0.10485375662644705
任务1_品质预测,S960单光谱,XGBoost回归,验证集,titration_VC,0.34181027634098593,7.209079526267924,5.335952337263998
任务1_品质预测,S960单光谱,XGBoost回归,验证集,titration_糖度,0.46829147469792276,1.1196012281441965,0.8783370304107668
任务1_品质预测,S960单光谱,XGBoost回归,验证集,titration_糖酸比,0.26216016564711764,3.2060753146096017,2.637957818594891
任务1_品质预测,S960单光谱,XGBoost回归,验证集,titration_酸度,-0.12099316919926473,0.12876088077386139,0.10089669998486836
任务1_品质预测,S960单光谱,岭回归,测试集,titration_VC,0.2772711216873648,6.212235864473243,4.790793220485097
任务1_品质预测,S960单光谱,岭回归,测试集,titration_糖度,0.6983701730845927,0.8162120119780335,0.6198129038098003
任务1_品质预测,S960单光谱,岭回归,测试集,titration_糖酸比,0.19620015913415811,3.3348389321813015,2.7232227948413983
任务1_品质预测,S960单光谱,岭回归,测试集,titration_酸度,-0.10788144905477504,0.13645876456039896,0.1022187088674099
任务1_品质预测,S960单光谱,岭回归,验证集,titration_VC,0.4324021295264504,6.694600204497254,4.700100129694959
任务1_品质预测,S960单光谱,岭回归,验证集,titration_糖度,0.5180536173778361,1.0659232048166596,0.8602692767376687
任务1_品质预测,S960单光谱,岭回归,验证集,titration_糖酸比,0.18912719149455803,3.3610040808435784,2.7521820115135216
任务1_品质预测,S960单光谱,岭回归,验证集,titration_酸度,-0.07496813676656067,0.126089885803237,0.10370559559856919
任务1_品质预测,S960单光谱,弹性网络,测试集,titration_VC,-0.47326400042555883,8.869528240193857,6.757615956559472
任务1_品质预测,S960单光谱,弹性网络,测试集,titration_糖度,0.21658907698195495,1.3154085207119184,1.1197766044822197
任务1_品质预测,S960单光谱,弹性网络,测试集,titration_糖酸比,-0.5864581909103392,4.685060685737376,4.004778040484552
任务1_品质预测,S960单光谱,弹性网络,测试集,titration_酸度,-0.3209599343657332,0.14900457824119248,0.11657214246813712
任务1_品质预测,S960单光谱,弹性网络,验证集,titration_VC,0.020257319782126415,8.79549490761729,6.61071756014825
任务1_品质预测,S960单光谱,弹性网络,验证集,titration_糖度,-0.19441221031326616,1.678045264525271,1.3109552031351324
任务1_品质预测,S960单光谱,弹性网络,验证集,titration_糖酸比,-0.6787562276670962,4.836002197878914,3.8988447151096586
任务1_品质预测,S960单光谱,弹性网络,验证集,titration_酸度,-0.3475790658343554,0.14117558093623273,0.12032117654711368
任务1_品质预测,S960单光谱,极端随机树回归,测试集,titration_VC,0.22915344841857666,6.415702235525384,4.871999536083341
任务1_品质预测,S960单光谱,极端随机树回归,测试集,titration_糖度,0.5690963816593091,0.9755643238659364,0.762366666666668
任务1_品质预测,S960单光谱,极端随机树回归,测试集,titration_糖酸比,0.05633765056457607,3.6133432460981947,3.064680822703652
任务1_品质预测,S960单光谱,极端随机树回归,测试集,titration_酸度,-0.1897558294040962,0.14141116837671167,0.10646916666666671
任务1_品质预测,S960单光谱,极端随机树回归,验证集,titration_VC,0.37081990149860733,7.048419698877373,5.005971133833336
任务1_品质预测,S960单光谱,极端随机树回归,验证集,titration_糖度,0.4803048794174406,1.1068808502574548,0.8328
任务1_品质预测,S960单光谱,极端随机树回归,验证集,titration_糖酸比,0.24846371822802482,3.2356955159611314,2.5599639783412744
任务1_品质预测,S960单光谱,极端随机树回归,验证集,titration_酸度,-0.1016874516373798,0.12764730706129288,0.10041333333333337
任务1_品质预测,S960单光谱,随机森林回归,测试集,titration_VC,0.2749752791517992,6.222095029641918,4.692477318083339
任务1_品质预测,S960单光谱,随机森林回归,测试集,titration_糖度,0.588582312605192,0.9532511080507591,0.7488666666666667
任务1_品质预测,S960单光谱,随机森林回归,测试集,titration_糖酸比,0.11348371095702392,3.502226783104888,2.95910470380872
